Current and historic data are continuously added to St. Johns River Water Management District's database; 
subsequent reviews may reflect additions or revisions to the data. SJRWMD provides no warranty as to the 
accuracy reliability or completeness of these data. Further information can be obtained by 
contacting St. Johns River Water Management District.


Station,Point_Location_Description,Parameter,Unit_of_Measure,STORET_Number,Sample_Collection_Date_and_Time,Measured_Value,Data_Qualifier_Code,Sample_Type,MDL,PQL,Method_Description,Matrix,Major_Class_Description,Minor_Class_Description,Sample_Collection_Organization,Vendor_name,Sample_Comments,Analyte_Comments
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","Secchi",m,78,02/10/1997 10:50,.95,,GRAB,,,"",FIELD DATA,Ambient,None,SJCUEL,"SJRWMD Field Data","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","TSS",mg/L,530,02/10/1997 10:50,37.4,,GRAB,1.53,,"EPA 160.2",WATER,Ambient,None,SJCUEL,"St Johns Co. Utility Envir. Lab (SJCUEL)","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","Turbidity",ntu,82079,02/10/1997 10:50,3.96,,GRAB,.33,,"EPA 180.1",WATER,Ambient,None,SJCUEL,"St Johns Co. Utility Envir. Lab (SJCUEL)","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","Secchi",m,78,03/10/1997 10:25,1.77,,GRAB,,,"",FIELD DATA,Ambient,None,SJCUEL,"SJRWMD Field Data","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","TSS",mg/L,530,03/10/1997 10:25,11,,GRAB,1.53,,"EPA 160.2",WATER,Ambient,None,SJCUEL,"St Johns Co. Utility Envir. Lab (SJCUEL)","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","Turbidity",ntu,82079,03/10/1997 10:25,2.5,,GRAB,.33,,"EPA 180.1",WATER,Ambient,None,SJCUEL,"St Johns Co. Utility Envir. Lab (SJCUEL)","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","Secchi",m,78,04/14/1997 11:00,1.2,,GRAB,,,"",FIELD DATA,Ambient,None,SJCUEL,"SJRWMD Field Data","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","TSS",mg/L,530,04/14/1997 11:00,13.7,,GRAB,1.53,,"EPA 160.2",WATER,Ambient,None,SJCUEL,"St Johns Co. Utility Envir. Lab (SJCUEL)","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","Turbidity",ntu,82079,04/14/1997 11:00,2.18,,GRAB,.33,,"EPA 180.1",WATER,Ambient,None,SJCUEL,"St Johns Co. Utility Envir. Lab (SJCUEL)","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","Secchi",m,78,05/27/1997 10:30,1,,GRAB,,,"",FIELD DATA,Ambient,None,SJCUEL,"SJRWMD Field Data","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","TSS",mg/L,530,05/27/1997 10:30,52,,GRAB,1.53,,"EPA 160.2",WATER,Ambient,None,SJCUEL,"St Johns Co. Utility Envir. Lab (SJCUEL)","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","Turbidity",ntu,82079,05/27/1997 10:30,3.78,,GRAB,.33,,"EPA 180.1",WATER,Ambient,None,SJCUEL,"St Johns Co. Utility Envir. Lab (SJCUEL)","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","Secchi",m,78,06/16/1997 10:15,.6,,GRAB,,,"",FIELD DATA,Ambient,None,SJCUEL,"SJRWMD Field Data","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","TSS",mg/L,530,06/16/1997 10:15,13.5,,GRAB,1.53,,"EPA 160.2",WATER,Ambient,None,SJCUEL,"St Johns Co. Utility Envir. Lab (SJCUEL)","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","Turbidity",ntu,82079,06/16/1997 10:15,4.74,,GRAB,.33,,"EPA 180.1",WATER,Ambient,None,SJCUEL,"St Johns Co. Utility Envir. Lab (SJCUEL)","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","Secchi",m,78,07/07/1997 10:10,.9,,GRAB,,,"",FIELD DATA,Ambient,None,SJCUEL,"SJRWMD Field Data","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","TSS",mg/L,530,07/07/1997 10:10,16,,GRAB,.9,,"EPA 160.2",WATER,Ambient,None,SJCUEL,"St Johns Co. Utility Envir. Lab (SJCUEL)","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","Turbidity",ntu,82079,07/07/1997 10:10,4.97,,GRAB,.33,,"EPA 180.1",WATER,Ambient,None,SJCUEL,"St Johns Co. Utility Envir. Lab (SJCUEL)","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","Secchi",m,78,08/18/1997 10:10,1,,GRAB,,,"",FIELD DATA,Ambient,None,SJCUEL,"SJRWMD Field Data","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","TSS",mg/L,530,08/18/1997 10:10,14,,GRAB,.9,,"EPA 160.2",WATER,Ambient,None,SJCUEL,"St Johns Co. Utility Envir. Lab (SJCUEL)","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","Turbidity",ntu,82079,08/18/1997 10:10,2.14,,GRAB,.33,,"EPA 180.1",WATER,Ambient,None,SJCUEL,"St Johns Co. Utility Envir. Lab (SJCUEL)","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","Secchi",m,78,09/08/1997 10:05,1.03,,GRAB,,,"",FIELD DATA,Ambient,None,SJCUEL,"SJRWMD Field Data","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","TSS",mg/L,530,09/08/1997 10:05,19.6,,GRAB,.9,,"EPA 160.2",WATER,Ambient,None,SJCUEL,"St Johns Co. Utility Envir. Lab (SJCUEL)","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","Turbidity",ntu,82079,09/08/1997 10:05,2.32,,GRAB,.33,,"EPA 180.1",WATER,Ambient,None,SJCUEL,"St Johns Co. Utility Envir. Lab (SJCUEL)","",""
JXTR17,"Confluence of Tolomato and Guana Rivers - ICWW","Secchi",m,78,10/13/1997 11:05,.55,,GRAB,,,"",FIELD DATA,Ambient,None,SJCUEL,"SJRWMD Field Data","",""
