Station,Point_Location_Description,Parameter,Unit_of_Measure,STORET_Number,Sample_Collection_Date_and_Time,Measured_Value,Data_Qualifier_Code,Sample_Type,MDL,PQL,Method_Description,Matrix,Major_Class_Description,Minor_Class_Description,Sample_Collection_Organization,Vendor_name,Sample_Comments,Analyte_Comments
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,10/9/1986 13:20,35,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,10/9/1986 13:20,12,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,12/2/1986 12:30,24,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,12/2/1986 12:30,10,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,2/3/1987 12:40,33,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,2/3/1987 12:40,8.799999,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,4/7/1987 12:55,43,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,4/7/1987 12:55,21,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,TSS,mg/L,530,6/2/1987 12:45,43,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
MAT,MATANZAS R S OF WASHINGTON OAKS MKR 109,Turbidity,ntu,82079,6/2/1987 12:45,14,,GRAB,,,OTHER/UNKNOWN,WATER,Ambient,None,,,,SR 1-18-2011; Changed NULL Analysis Method to OTHER/UNKNOWN for STORET.
