Station Code,DateTimeStamp,TSS,F_TSS,TURB_N,F_TURB_N,SECCHI,F_SECCHI
gtmpcnut,5/8/2002 8:15,41,<4>,5,<4>,0.9,<4>
gtmpcnut,5/8/2002 8:16,,<-2> [GDM],4.9,<4>,0.9,<4>
gtmssnut,5/8/2002 9:30,38,<4>,5.9,<4>,1.1,<4>
gtmssnut,5/8/2002 9:31,,<-2> [GDM],6,<4>,1.1,<4>
gtmpinut,5/8/2002 11:00,,<-2> [GDM],7.4,<4>,0.9,<4>
gtmpinut,5/8/2002 11:01,,<-2> [GDM],7.4,<4>,0.9,<4>
gtmfmnut,5/8/2002 13:40,40,<4>,4.3,<4>,1.5,<4>
gtmfmnut,5/8/2002 13:41,,<-2> [GDM],4.4,<4>,1.5,<4>
gtmssnut,6/5/2002 9:40,95,<4>,3.6,<4>,0.7,<4>
gtmssnut,6/5/2002 9:41,80,<4>,3.6,<4>,0.7,<4>
gtmpinut,6/5/2002 11:20,90,<4>,4.1,<4>,0.8,<4>
gtmpinut,6/5/2002 11:21,91,<4>,5.1,<4>,0.8,<4>
gtmpcnut,6/5/2002 12:35,52,<4>,4.1,<4>,0.9,<4>
gtmpcnut,6/5/2002 12:36,38,<4>,4.6,<4>,0.9,<4>
gtmfmnut,6/5/2002 14:30,66,<4>,2.1,<4>,2,<4>
gtmfmnut,6/5/2002 14:31,51,<4>,1.4,<4>,2,<4>
gtmpcnut,7/8/2002 14:50,,<-1>,3.9,<4>,,<-1>
gtmpcnut,7/8/2002 15:55,8,<4>,4.7,<4>,0.4,<4>
gtmpcnut,7/8/2002 15:56,6,<4>,4.3,<4>,0.4,<4>
gtmpcnut,7/8/2002 16:50,,<-1>,4.2,<4>,,<-1>
gtmpcnut,7/8/2002 18:50,,<-1>,4.6,<4>,,<-1>
gtmpcnut,7/8/2002 20:50,,<-1>,6,<4>,,<-1>
gtmpcnut,7/8/2002 22:50,,<-1>,10.2,<4>,,<-1>
gtmpcnut,7/9/2002 0:50,,<-1>,5.2,<4>,,<-1>
gtmpcnut,7/9/2002 2:50,,<-1>,4,<4>,,<-1>
gtmpcnut,7/9/2002 4:50,,<-1>,3.6,<4>,,<-1>
gtmpcnut,7/9/2002 6:50,,<-1>,3.5,<4>,,<-1>
gtmpcnut,7/9/2002 8:50,,<-1>,4.3,<4>,,<-1>
gtmpcnut,7/9/2002 10:50,,<-1>,4.3,<4>,,<-1>
gtmpcnut,7/9/2002 12:50,,<-1>,3.4,<4>,,<-1>
gtmpinut,7/10/2002 10:12,28,<4>,3.5,<4>,1.1,<4>
gtmpinut,7/10/2002 10:13,28,<4>,3.3,<4>,1.1,<4>
gtmssnut,7/10/2002 11:39,68,<4>,10.4,<4>,0.6,<4>
gtmssnut,7/10/2002 11:40,72,<4>,12.5,<4>,0.6,<4>
gtmfmnut,7/10/2002 12:57,31,<4>,0.6,<4>,1.1,<4>
gtmfmnut,7/10/2002 12:58,41,<4>,0.2,<4>,1.1,<4>
gtmpcnut,8/13/2002 13:45,,<-1>,7.1,<4>,,<-1>
gtmpcnut,8/13/2002 15:45,,<-1>,9.4,<4>,,<-1>
gtmpcnut,8/13/2002 17:45,,<-1>,6.4,<4>,,<-1>
gtmpcnut,8/13/2002 19:45,,<-1>,6,<4>,,<-1>
gtmpcnut,8/13/2002 21:45,,<-1>,5.5,<4>,,<-1>
gtmpcnut,8/13/2002 23:45,,<-1>,6.7,<4>,,<-1>
gtmpcnut,8/14/2002 1:45,,<-1>,6.7,<4>,,<-1>
gtmpcnut,8/14/2002 3:45,,<-1>,6.7,<4>,,<-1>
gtmpcnut,8/14/2002 5:45,,<-1>,6.1,<4>,,<-1>
gtmpcnut,8/14/2002 7:45,,<-1>,7.4,<4>,,<-1>
gtmpinut,8/14/2002 8:08,57,<4>,6.7,<4>,0.7,<4>
gtmpinut,8/14/2002 8:09,70,<4>,13,<4>,0.7,<4>
gtmpcnut,8/14/2002 9:45,,<-1>,7.4,<4>,,<-1>
gtmssnut,8/14/2002 9:45,65,<4>,9.6,<4>,0.7,<4>
gtmssnut,8/14/2002 9:46,67,<4>,8.6,<4>,0.7,<4>
gtmfmnut,8/14/2002 11:10,43,<4>,4,<4>,1.2,<4>
gtmfmnut,8/14/2002 11:11,35,<4>,3.2,<4>,1.2,<4>
gtmpcnut,8/14/2002 11:45,,<-1>,8.7,<4>,,<-1>
gtmpcnut,8/14/2002 14:30,52,<4>,9.3,<4>,4,<4>
gtmpcnut,8/14/2002 14:31,53,<4>,8.3,<4>,4,<4>
gtmpcnut,9/10/2002 14:35,,<-1>,5.7,<4>,,<-1>
gtmpcnut,9/10/2002 16:21,25,<4>,3.5,<4>,0.3,<4>
gtmpcnut,9/10/2002 16:22,28,<4>,6.7,<4>,0.3,<4>
gtmpcnut,9/10/2002 16:35,,<-1>,7,<4>,,<-1>
gtmpcnut,9/10/2002 18:35,,<-1>,5,<4>,,<-1>
gtmpcnut,9/10/2002 20:35,,<-1>,4.6,<4>,,<-1>
gtmpcnut,9/10/2002 22:35,,<-1>,5.8,<4>,,<-1>
gtmpcnut,9/11/2002 0:35,,<-1>,4.6,<4>,,<-1>
gtmpcnut,9/11/2002 2:35,,<-1>,5.1,<4>,,<-1>
gtmpcnut,9/11/2002 4:35,,<-1>,6.8,<4>,,<-1>
gtmpcnut,9/11/2002 6:35,,<-1>,5,<4>,,<-1>
gtmpcnut,9/11/2002 8:35,,<-1>,3.7,<4>,,<-1>
gtmpcnut,9/11/2002 10:35,,<-1>,3.5,<4>,,<-1>
gtmpcnut,9/11/2002 12:35,,<-1>,9.1,<4>,,<-1>
gtmfmnut,9/11/2002 15:17,61,<4>,3.9,<4>,0.5,<4>
gtmfmnut,9/11/2002 15:18,56,<4>,4.4,<4>,0.5,<4>
gtmssnut,9/11/2002 16:30,58,<4>,13.3,<4>,0.7,<4>
gtmssnut,9/11/2002 16:31,84,<4>,9.5,<4>,0.7,<4>
gtmpinut,9/12/2002 15:45,,<-2> [GDM],4,<4>,0.6,<4>
gtmpinut,9/12/2002 15:46,33,<4>,3.8,<4>,0.6,<4>
gtmpcnut,10/7/2002 7:45,,<-1>,4.2,<4>,,<-1>
gtmpcnut,10/7/2002 9:45,,<-1>,8.8,<4>,,<-1>
gtmpcnut,10/7/2002 11:45,,<-1>,5,<4>,,<-1>
gtmpinut,10/7/2002 13:37,55,<4>,10.5,<4>,0.3,<4>
gtmpinut,10/7/2002 13:38,45,<4>,8.9,<4>,0.3,<4>
gtmpcnut,10/7/2002 13:45,,<-1>,4.3,<4>,,<-1>
gtmpcnut,10/7/2002 15:45,,<-1>,5.8,<4>,,<-1>
gtmfmnut,10/7/2002 16:25,57,<4>,10.4,<4>,0.8,<4>
gtmfmnut,10/7/2002 16:26,52,<4>,6.2,<4>,0.8,<4>
gtmpcnut,10/7/2002 17:45,,<-1>,4.1,<4>,,<-1>
gtmpcnut,10/7/2002 19:45,,<-1>,3,<4>,,<-1>
gtmpcnut,10/7/2002 21:45,,<-1>,4.1,<4>,,<-1>
gtmpcnut,10/7/2002 23:45,,<-1>,4.2,<4>,,<-1>
gtmpcnut,10/8/2002 1:45,,<-1>,3.4,<4>,,<-1>
gtmpcnut,10/8/2002 3:45,,<-1>,3.2,<4>,,<-1>
gtmpcnut,10/8/2002 5:45,,<-1>,3.3,<4>,,<-1>
gtmssnut,10/8/2002 15:45,74,<4>,19.7,<4>,0.6,<4>
gtmssnut,10/8/2002 15:46,56,<4>,15.7,<4>,0.6,<4>
